"GeoFips","GeoName","Population"
"53000","Washington",7614893
"53001","Adams, WA",19983
"53003","Asotin, WA",22582
"53005","Benton, WA",204390
"53007","Chelan, WA",77200
"53009","Clallam, WA",77331
"53011","Clark, WA",488241
"53013","Columbia, WA",3985
"53015","Cowlitz, WA",110593
"53017","Douglas, WA",43429
"53019","Ferry, WA",7627
"53021","Franklin, WA",95222
"53023","Garfield, WA",2225
"53025","Grant, WA",97733
"53027","Grays Harbor, WA",75061
"53029","Island, WA",85141
"53031","Jefferson, WA",32221
"53033","King, WA",2252782
"53035","Kitsap, WA",271473
"53037","Kittitas, WA",47935
"53039","Klickitat, WA",22425
"53041","Lewis, WA",80707
"53043","Lincoln, WA",10939
"53045","Mason, WA",66768
"53047","Okanogan, WA",42243
"53049","Pacific, WA",22471
"53051","Pend Oreille, WA",13724
"53053","Pierce, WA",904980
"53055","San Juan, WA",17582
"53057","Skagit, WA",129205
"53059","Skamania, WA",12083
"53061","Snohomish, WA",822083
"53063","Spokane, WA",522798
"53065","Stevens, WA",45723
"53067","Thurston, WA",290536
"53069","Wahkiakum, WA",4488
"53071","Walla Walla, WA",60760
"53073","Whatcom, WA",229247
"53075","Whitman, WA",50104
"53077","Yakima, WA",250873
"53998","Washington (Metropolitan Portion)",6834200
"53999","Washington (Nonmetropolitan Portion) *",780693
"13380","Bellingham, WA (Metropolitan Statistical Area)",229247
"14740","Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",271473
"28420","Kennewick-Richland, WA (Metropolitan Statistical Area)",299612
"30300","Lewiston, ID-WA (Metropolitan Statistical Area)",62990
"31020","Longview, WA (Metropolitan Statistical Area)",110593
"34580","Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",129205
"36500","Olympia-Lacey-Tumwater, WA (Metropolitan Statistical Area)",290536
"38900","Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",2492412
"42660","Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",3979845
"44060","Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",568521
"47460","Walla Walla, WA (Metropolitan Statistical Area)",60760
"48300","Wenatchee, WA (Metropolitan Statistical Area)",120629
"49420","Yakima, WA (Metropolitan Statistical Area)",250873
"10140","Aberdeen, WA (Micropolitan Statistical Area)",75061
"16500","Centralia, WA (Micropolitan Statistical Area)",80707
"21260","Ellensburg, WA (Micropolitan Statistical Area)",47935
"34180","Moses Lake, WA (Micropolitan Statistical Area)",97733
"36020","Oak Harbor, WA (Micropolitan Statistical Area)",85141
"36830","Othello, WA (Micropolitan Statistical Area)",19983
"38820","Port Angeles, WA (Micropolitan Statistical Area)",77331
"39420","Pullman, WA (Micropolitan Statistical Area)",50104
"43220","Shelton, WA (Micropolitan Statistical Area)",66768
"89313","Kennewick-Richland-Walla Walla, WA (Combined Statistical Area)",360372
"89393","Moses Lake-Othello, WA (Combined Statistical Area)",117716
"89440","Portland-Vancouver-Salem, OR-WA (Combined Statistical Area)",3259710
"89446","Pullman-Moscow, WA-ID (Combined Statistical Area)",90212
"89500","Seattle-Tacoma, WA (Combined Statistical Area)",4903675
"89518","Spokane-Spokane Valley-Coeur d'Alene, WA-ID (Combined Statistical Area)",734218
"42644","Seattle-Bellevue-Kent, WA (Metropolitan Division)",3074865
"45104","Tacoma-Lakewood, WA (Metropolitan Division)",904980